horizontal_concentration	nitroxoline_concentration	norm_fitness	horizontal_drug	replicate
0.0215	0.225	0.786111111111111	Cefepime	2
0.018	0.225	0.755555555555556	Cefepime	2
0.0145	0.225	0.778472222222222	Cefepime	2
0.011	0.225	0.832638888888889	Cefepime	2
0.0075	0.225	0.702777777777778	Cefepime	2
0.004	0.225	0.788888888888889	Cefepime	2
0	0.225	0.81875	Cefepime	2
0.025	0.33	0.613194444444444	Cefepime	2
0.0215	0.33	0.752777777777778	Cefepime	2
0.018	0.33	0.666666666666667	Cefepime	2
0.0145	0.33	0.676388888888889	Cefepime	2
0.011	0.33	0.730555555555556	Cefepime	2
0.0075	0.33	0.648611111111111	Cefepime	2
0.004	0.33	0.66875	Cefepime	2
0	0.33	0.625	Cefepime	2
0.025	0.435	0.601388888888889	Cefepime	2
0.0215	0.435	0.676388888888889	Cefepime	2
0.018	0.435	0.645138888888889	Cefepime	2
0.0145	0.435	0.749305555555556	Cefepime	2
0.011	0.435	0.691666666666667	Cefepime	2
0.0075	0.435	0.576388888888889	Cefepime	2
0.004	0.435	0.541666666666667	Cefepime	2
0	0.435	0.650694444444445	Cefepime	2
0.025	0.54	0.579166666666667	Cefepime	2
0.0215	0.54	0.532638888888889	Cefepime	2
0.018	0.54	0.60625	Cefepime	2
0.0145	0.54	0.583333333333333	Cefepime	2
0.011	0.54	0.621527777777778	Cefepime	2
0.0075	0.54	0.577777777777778	Cefepime	2
0.004	0.54	0.546527777777778	Cefepime	2
0	0.54	0.66875	Cefepime	2
0.025	0.645	0.577083333333333	Cefepime	2
0.0215	0.645	0.529861111111111	Cefepime	2
0.018	0.645	0.60625	Cefepime	2
0.0145	0.645	0.5625	Cefepime	2
0.011	0.645	0.609027777777778	Cefepime	2
0.0075	0.645	0.590972222222222	Cefepime	2
0.004	0.645	0.575694444444445	Cefepime	2
0	0.645	0.622916666666667	Cefepime	2
0.025	0.75	0.541666666666667	Cefepime	2
0.0215	0.75	0.547916666666667	Cefepime	2
0.018	0.75	0.506944444444444	Cefepime	2
0.0145	0.75	0.554861111111111	Cefepime	2
0.011	0.75	0.552083333333333	Cefepime	2
0.0075	0.75	0.54375	Cefepime	2
0.004	0.75	0.552777777777778	Cefepime	2
0	0.75	0.559722222222222	Cefepime	2
0.45	0	0.711340206185567	Azithromycin	1
0.387	0	0.839809674861221	Azithromycin	1
